Designator,Mid X,Mid Y,Rotation,Layer
C101,135.3,-58.8,90.0,top
C102,135.285,-73.125,270.0,top
C103,163.55,-38.575,0.0,top
C104,162.9,-40.8,0.0,top
C105,158.225,-40.55,180.0,top
C106,164.625,-25.15,270.0,top
C107,158.05,-30.0,270.0,top
C108,161.399999,-21.095001,90.0,top
C109,165.475,-20.575,270.0,top
C110,158.924999,-38.575,180.0,top
C111,158.924999,-36.25,180.0,top
C112,163.549999,-36.25,0.0,top
C113,152.55,-62.875,180.0,top
C114,155.1,-73.475,90.0,top
D102,148.975,-31.125,270.0,top
D103,147.05,-31.125,270.0,top
D201,179.05,-67.175,180.0,top
FB102,156.3,-30.0,90.0,top
IC101,155.185,-51.875,270.0,top
J101,192.775,-70.4,0.0,top
J102,129.275,-88.05,270.0,top
J103,153.075,-20.28,180.0,top
J104,155.435,-88.06,0.0,top
J105,148.225,-35.475,180.0,top
J106,161.275,-69.3,90.0,top
J201,192.87,-35.22,180.0,top
L101,162.425,-30.625,270.0,top
PS101,139.6575,-66.0625,0.0,top
PS102,121.7075,-66.0625,0.0,top
Q101,152.625,-31.135,180.0,top
Q102,148.0125,-27.8,180.0,top
R101,121.5,-53.075,180.0,top
R102,119.65,-53.075,0.0,top
R103,130.100001,-74.9,90.0,top
R104,129.335,-72.375,0.0,top
R105,132.335,-72.375,0.0,top
R106,162.35,-21.105,90.0,top
R107,160.65,-40.8,180.0,top
R108,148.95,-39.85,270.0,top
R109,147.475,-39.85,270.0,top
R110,143.15,-48.0,0.0,top
R111,156.8,-65.025,270.0,top
R112,156.8,-66.9,90.0,top
R113,156.8,-71.040001,90.0,top
R115,163.775,-19.675,180.0,top
R116,158.05,-32.975,90.0,top
R117,164.274999,-21.095001,270.0,top
R118,164.65,-22.995001,270.0,top
R119,145.014999,-19.329,180.0,top
R120,145.014999,-23.729,180.0,top
R121,130.21,-58.790001,90.0,top
R122,131.485,-58.790001,90.0,top
R123,148.475,-75.975,0.0,top
R124,156.8,-69.180002,270.0,top
R125,131.575,-74.9,270.0,top
R126,144.15,-62.85,180.0,top
R127,149.825,-62.875,0.0,top
R132,129.359999,-53.05,180.0,top
R133,145.575,-26.975,270.0,top
R135,145.575,-29.45,270.0,top
R136,150.875,-26.525,180.0,top
R137,131.359999,-53.05,180.0,top
R138,127.359999,-53.05,180.0,top
R139,143.145,-50.725,0.0,top
R140,143.145,-49.375,0.0,top
R205,199.925,-52.625,0.0,top
R206,204.434999,-52.625,180.0,top
R207,184.025,-58.609999,90.0,top
R208,185.225,-58.6,90.0,top
R209,183.325,-65.375,0.0,top
R210,183.325,-66.85,0.0,top
R211,183.325,-68.3,0.0,top
S101,153.0,-37.025,270.0,top
S102,143.425,-37.025,90.0,top
S201,179.05,-59.975,0.0,top
S202,190.225,-59.975,0.0,top
S203,179.05,-72.225,0.0,top
U101,129.6,-35.575,90.0,top
U102,162.425,-24.0925,90.0,top
U103,130.84,-65.65,180.0,top
U104,143.677499,-21.528999,0.0,top
U105,149.2,-69.300001,180.0,top
