Designator,Mid X,Mid Y,Rotation,Layer
C101,127.715,-62.9,0.0,top
C102,129.075,-73.52,90.0,top
C103,163.55,-38.575,0.0,top
C104,162.9,-40.8,0.0,top
C105,158.225,-40.55,180.0,top
C106,164.625,-25.15,270.0,top
C107,158.05,-30.0,270.0,top
C108,161.399999,-21.095001,90.0,top
C109,165.475,-20.575,270.0,top
C110,158.924999,-38.575,180.0,top
C111,158.924999,-36.25,180.0,top
C112,163.549999,-36.25,0.0,top
C113,165.26,-65.105,270.0,top
C114,165.29,-73.45,90.0,top
D102,148.975,-31.125,270.0,top
D103,147.05,-31.125,270.0,top
FB102,156.3,-30.0,90.0,top
IC101,155.185,-51.875,270.0,top
J103,153.075,-20.28,180.0,top
J106,143.774999,-68.1,0.0,top
Q101,152.625,-31.135,180.0,top
Q102,148.0125,-27.8,180.0,top
R101,121.5,-53.075,180.0,top
R102,119.65,-53.075,0.0,top
R103,122.225,-76.025,0.0,top
R104,119.275,-76.025,0.0,top
R105,128.175001,-76.025,0.0,top
R106,162.35,-21.105,90.0,top
R107,160.65,-40.8,180.0,top
R108,147.575,-39.85,270.0,top
R109,146.1,-39.85,270.0,top
R110,143.15,-48.0,0.0,top
R111,153.125,-63.284999,270.0,top
R112,151.875,-63.294998,270.0,top
R113,149.35,-63.284999,90.0,top
R115,163.775,-19.675,180.0,top
R116,158.05,-32.975,90.0,top
R117,164.274999,-21.095001,270.0,top
R118,164.65,-22.995001,270.0,top
R119,145.014999,-19.329,180.0,top
R120,145.014999,-23.729,180.0,top
R121,122.265,-62.95,180.0,top
R122,124.14,-62.95,0.0,top
R123,158.15,-75.85,0.0,top
R124,150.6,-63.284999,270.0,top
R125,125.200001,-76.025,0.0,top
R126,158.645,-62.850001,180.0,top
R127,160.525,-62.85,0.0,top
R132,129.359999,-53.05,180.0,top
R133,145.575,-26.975,270.0,top
R135,145.575,-29.45,270.0,top
R136,150.875,-26.525,180.0,top
R137,131.359999,-53.05,180.0,top
R138,127.359999,-53.05,180.0,top
R139,143.145,-50.725,0.0,top
R140,143.145,-49.375,0.0,top
S101,130.65,-58.4,0.0,top
S102,139.65,-58.4,0.0,top
U102,162.425,-24.0925,90.0,top
U103,123.205,-69.35,180.0,top
U104,143.677499,-21.528999,0.0,top
U105,159.38,-69.275,180.0,top
